Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
100000,"A Court of Thorns and Roses (ACOTAR, #1)",Sarah J Mass,"Mass, Sarah J",Jane Cowriter,"=""1635575567""","=""9781635575561""",4,4.21,Sourcebooks Casablanca,Paperback,614,2018,2018,2025/01/24,2024/05/08,"hockey-romance, read",,read,Absolutely devoured this. The tension!!,,borrowed from Kate — buy own copy,2,1
100001,"A Court of Mist and Fury (ACOTAR, #2)",Sarah J Mass,"Mass, Sarah J",,"=""""","=""""",4,3.51,Entangled: Red Tower Books,Mass Market Paperback,320,2018,2017,,2024/10/14,,,read,,,,1,0
100002,"A Court of Wings and Ruin (ACOTAR, #3)",Sarah J Mass,"Mass, Sarah J",,"=""""","=""""",4,4.18,Sourcebooks Casablanca,Audible Audio,,2023,2023,2025/10/01,2024/09/07,,,read,,,,1,1
100003,"A Court of Frost and Starlight (ACOTAR, #4)",Sarah J Mass,"Mass, Sarah J",,"=""4794026542""","=""9784794026543""",3,3.86,Berkley,Hardcover,320,,,,2024/06/04,,,to-read,,,,0,0
100004,"A Court of Silver Flames (ACOTAR, #5)",Sarah J Mass,"Mass, Sarah J",,"=""""","=""""",4,4.06,Bloom Books,,448,2018,2018,2025/10/09,2024/01/24,"signed-copies, dark-romance",,read,,,,1,1
100005,Assassins Blade,Sarah J Mass,"Mass, Sarah J",,"=""""","=""""",3,3.63,Bloomsbury Publishing,Paperback,412,2022,2021,,2024/10/28,,,read,,,,1,0
100006,"Throne of Glass (Throne of Glass, #1)",Sarah J Mass,"Mass, Sarah J",,"=""1619630346""","=""9781619630343""",5,3.73,,Hardcover,320,2021,2021,2025/05/03,2024/04/28,,,read,,,,1,1
100007,"Crown of Midnight (Throne of Glass, #2)",Sarah J Mass,"Mass, Sarah J",,"=""""","=""""",5,3.65,Berkley,,,2020,2020,,2024/03/12,,,currently-reading,,,,0,0
100008,"Heir of Fire (Throne of Glass, #3)",Sarah J Mass,"Mass, Sarah J",,"=""""","=""""",4,3.60,Avon,Hardcover,614,2019,2019,2025/11/21,2024/02/20,"signed-copies, read",,read,,,,1,1
100009,"Queen of Shadows (Throne of Glass, #4) (Crossover Saga, #1)",Sarah J Mass,"Mass, Sarah J",,"=""0835030564""","=""9780835030561""",4,3.78,,Audible Audio,614,,,,2024/04/19,,,read,,,,1,0
100010,"Empire of Storms (Throne of Glass, #5)",Sarah J Mass,"Mass, Sarah J",,"=""""","=""""",4,3.70,Sourcebooks Casablanca,Mass Market Paperback,412,2019,2019,2025/07/21,2024/08/05,,,read,,,,2,1
100011,"Tower of Dawn (Throne of Glass, #6)",Sarah J Mass,"Mass, Sarah J",,"=""""","=""""",4,4.48,Avon,Hardcover,528,2021,2021,,2024/05/24,,,to-read,,,,0,0
100012,"Kingdom of Ash (Throne of Glass, #7)",Sarah J Mass,"Mass, Sarah J",,"=""4287101226""","=""9784287101229""",5,4.43,Bloomsbury Publishing,,,2022,2022,2025/02/13,2024/07/20,"signed-copies, fae",,read,,,,1,1
100013,"The Never King (Vicious Lost Boys, #1)",Nikki St. Crowe,"Crowe, Nikki St.",,"=""""","=""""",4,4.30,Bloom Books,,614,2022,2021,,2024/12/04,,,read,,,,1,0
100014,Mile High,Liz Tomforde,"Tomforde, Liz",,"=""""","=""""",4,3.40,,,384,2021,2021,2025/06/04,2024/05/14,,,read,,,,1,1
100015,The Right Move,Liz Tomforde,"Tomforde, Liz",,"=""5828148932""","=""9785828148935""",3,4.50,Sourcebooks Casablanca,Hardcover,528,,,,2024/03/18,,,read,,,,1,0
100016,Caught Up (Audiobook),Liz Tomforde,"Tomforde, Liz",,"=""""","=""""",5,4.54,Bloomsbury Publishing,,384,2022,2022,2025/08/01,2024/02/12,"hockey-romance, dark-romance, read",,read,,,,1,1
100017,"Play Along (Windy City, #4)",Liz Tomforde,"Tomforde, Liz",,"=""""","=""""",5,4.57,Sourcebooks Casablanca,Kindle Edition,,2018,2017,,2024/08/27,,,read,,,,1,0
100018,Rewind it Back,Liz Tomforde,"Tomforde, Liz",,"=""0278248963""","=""9780278248968""",4,4.59,,Hardcover,412,2021,2021,2025/12/23,2024/04/23,,,read,,,,1,1
100019,"A Tribute of Fire (The Eye of the Goddess, #1)",Sariah Wilson,"Wilson, Sariah",,"=""""","=""""",0,3.70,Bloomsbury Publishing,Hardcover,448,2018,2018,,2024/08/17,,,to-read,,,,0,0
100020,"Ruthless Rival (Cruel Castaways, #1)",L.J. Shen,"Shen, L.J.",,"=""""","=""""",2,4.16,Entangled: Red Tower Books,Paperback,320,2023,2023,2025/01/19,2024/09/08,dark-romance,,read,,,,2,1
100021,"Your Knife, My Heart (Dark Forces, #2)",K.M. Moronova,"Moronova, K.M.",,"=""1518347382""","=""9781518347389""",4,4.34,Bloom Books,Audible Audio,384,,,,2024/10/16,,,read,,,,1,0
100022,"My Blade, Your Back (Dark Forces, #3)",K.M. Moronova,"Moronova, K.M.",,"=""""","=""""",3,3.83,Avon,Audible Audio,,2021,2021,2025/04/04,2024/02/22,,,read,,,,1,1
