Title,Author First,Author Last,Series,Series order,Series #,Global order,Series type,Genre,Tags,Release date
Deviant King,Rina,Kent,Royal Elite,1,1,1,interconnected standalone,romance; fantasy,dark,2020
Steel Princess,Rina,Kent,Royal Elite,2,1,1,interconnected standalone,romance; fantasy,dark,2020
Twisted Kingdom,Rina,Kent,Royal Elite,3,1,1,interconnected standalone,romance; fantasy,dark,2020
Black Knight,Rina,Kent,Royal Elite,4,1,2,interconnected standalone,romance; fantasy,dark,2020
Vicious Prince,Rina,Kent,Royal Elite Epilogues,1,2,2,interconnected standalone,romace,dark,2021
Cruel King,Rina,Kent,Royal Elite Epilogues,2,2,2,interconnected standalone,romance; fantasy,dark,2021
Kingdom of Wicked,Rina,Kent,Kingdom Duet,1,3,3,interconnected standalone,fantasy; romance,dark,2021
Empire of Sin,Rina,Kent,Kingdom Duet,2,3,4,interconnected standalone,romance; fantasy,dark,2021
Throne of Power,Rina,Kent,Kingdom Duet,3,3,5,interconnected standalone,romance; fantasy,dark,2022
Reign of Ruin,Rina,Kent,Royal Elite Legacy,1,4,6,interconnected standalone,standalone,dark,2023
Court of Ash,Ava,Reign,Ashfall,1,1,1,interconnected standalone,fantasy; romance,dark fae,2022
Crown of Ash,Ava,Reign,Ashfall,2,1,2,interconnected standalone,fantasy; romance,dark fae,2022
War of Ash,Ava,Reign,Ashfall Wars,1,2,2,interconnected standalone,fantasy,war,2023
