title,author,series,position,subgenre,spice,fave,rating
A Court of Thorns and Roses,Sarah J. Maas,ACOTAR,1,Romantasy,4,,3.5
A Court of Mist and Fury,Sarah J. Maas,ACOTAR,2,Romantasy,4,,3.5
A Court of Wings and Ruin,Sarah J. Maas,ACOTAR,3,Romantasy,0,,3.5
A Court of Frost and Starlight,Sarah J. Maas,ACOTAR,4,Romantasy,0,,3.0
A Court of Silver Flames,Sarah J. Maas,ACOTAR,5,Romantasy,0,,4.0
Assassins Blade,Sarah J. Maas,,0,Romantasy,0,,3.0
Throne of Glass,Sarah J. Maas,Throne of Glass,1,Romantasy,3,yes,5.0
Crown of Midnight,Sarah J. Maas,Throne of Glass,2,Romantasy,0,,5.0
Heir of Fire,Sarah J. Maas,Throne of Glass,3,Romantasy,0,,4.5
Queen of Shadows,Sarah J. Maas,Throne of Glass,4,Romantasy,0,,4.0
Empire of Storms,Sarah J. Maas,Throne of Glass,5,Romantasy,0,,4.5
Tower of Dawn,Sarah J. Maas,Throne of Glass,6,Romantasy,0,,4.0
Kingdom of Ash,Sarah J. Maas,Throne of Glass,7,Romantasy,0,,5.0
The Never King,Nikki St. Crowe,Vicious Lost Boys,1,Romantasy,0,,4.0
Mile High,Liz Tomforde,,1,Romance,0,,4.0
The Right Move,Liz Tomforde,,2,Romance,0,,3.0
Caught Up (Audiobook),Liz Tomforde,,3,Romance,0,yes,5.0
Play Along,Liz Tomforde,Windy City,4,Romance,0,yes,5.0
Rewind it Back,Liz Tomforde,,5,Romance,0,,4.0
A Tribute of Fire,Sariah Wilson,The Eye of the Goddess,1,Romantasy,0,,0
Ruthless Rival,L.J. Shen,Cruel Castaways,1,Dark Romance,0,,2.0
"Your Knife, My Heart",K.M. Moronova,Dark Forces,2,Dark Romance,0,,3.5
"My Blade, Your Back",K.M. Moronova,Dark Forces,3,Dark Romance,0,,3.0
One Pucked Up Pack,Sarah Blue,Pucked Up Omegaverse,1,Romance,0,,0
Feathers So Vicious,Liv Zander,,1,Romantasy,0,yes,0
Shadows So Cruel,Liv Zander,,2,Romantasy,0,yes,0
King of Wrath,Ana Huang,Kings of Sin,1,Dark Romance,4,,0
King of Pride,Ana Huang,Kings of Sin,2,Dark Romance,0,,0
King of Envy,Ana Huang,Kings of Sin,5,Romance,0,yes,0
Anathema,Keri Lake,,1,Romantasy,0,,0
Spark of the Everflame,Penn Cole,The Kindred's Curse Saga,1,Romantasy,0,yes,0
Glow of the Everflame,Penn Cole,The Kindred's Curse,2,Romantasy,0,yes,0
Heat of the Everflame,Penn Cole,The Kindred's Curse,3,Romantasy,0,yes,0
The Ritual,Shantel Tessier,LORDS,1,Romance,5,yes,0
The Sinner,Shantel Tessier,LORDS,2,Romance,0,,0
The Sacrifice,Shantel Tessier,LORDS,3,Romance,0,,0
Carnage,Shantel Tessier,,4,Dark Romance,0,,3.0
Madness,Shantel Tessier,,5,Dark Romance,0,,3.0
We Are Legion: We Are Bob,Ray Porter,,1,Romance,0,,2.5
