section,series_id,series_name,claimed_length,live_entries,position,title,book_id,user_edited,removed
S1,aa4e251e-be7a-45bf-a66b-78bbf9406e71,A Court of Thorns and Roses,5,6,,,,,
S2,aa4e251e-be7a-45bf-a66b-78bbf9406e71,A Court of Thorns and Roses,,,1,A Court of Thorns and Roses,6469788a-2446-47b9-8807-7c0affbe62f1,false,
S2,aa4e251e-be7a-45bf-a66b-78bbf9406e71,A Court of Thorns and Roses,,,2,A Court of Mist and Fury,c570f8de-96ac-41d8-a1f2-a9ca25ad4790,false,
S2,aa4e251e-be7a-45bf-a66b-78bbf9406e71,A Court of Thorns and Roses,,,3,A Court of Wings and Ruin,(ghost),true,
S2,aa4e251e-be7a-45bf-a66b-78bbf9406e71,A Court of Thorns and Roses,,,3.5,A Court of Frost and Starlight,7c1fbd41-0f55-4149-9f32-0d3eaa484a11,true,
S2,aa4e251e-be7a-45bf-a66b-78bbf9406e71,A Court of Thorns and Roses,,,5,A Court of Silver Flames,49242225-3d05-408b-b5e0-400477465cab,true,
S2,aa4e251e-be7a-45bf-a66b-78bbf9406e71,A Court of Thorns and Roses,,,6,ACOTAR 6,6856062b-271a-47c6-a987-4bedb8b2da3d,true,
S1,53c565cd-3771-4b85-aa55-d388c5e93a0d,Adrian x Isolde,,2,,,,,
S2,53c565cd-3771-4b85-aa55-d388c5e93a0d,Adrian x Isolde,,,1,King of Battle and Blood,89baa889-0640-4af1-b534-6caa400530da,false,
S2,53c565cd-3771-4b85-aa55-d388c5e93a0d,Adrian x Isolde,,,2,Queen of Myth and Monsters,6af99220-4ec3-414f-b696-633dfc79b313,false,
S1,d36069b2-4137-425d-a2d8-3aea87b865c3,Boys of Tommen,,6,,,,,
S2,d36069b2-4137-425d-a2d8-3aea87b865c3,Boys of Tommen,,,1,Binding 13,b57f73e3-242d-444e-9d20-7fe8f268237c,false,
S2,d36069b2-4137-425d-a2d8-3aea87b865c3,Boys of Tommen,,,2,Keeping 13,86451b12-5c99-4ea4-af0a-141adf2b3740,false,
S2,d36069b2-4137-425d-a2d8-3aea87b865c3,Boys of Tommen,,,3,Saving 6,a5158d55-8c78-4fcd-9c3e-31935b8717c6,false,
S2,d36069b2-4137-425d-a2d8-3aea87b865c3,Boys of Tommen,,,4,Redeeming 6,8ca5f5dd-a834-4178-b5a5-fc9f235cdeaf,false,
S2,d36069b2-4137-425d-a2d8-3aea87b865c3,Boys of Tommen,,,5,Taming 7,249e5c5f-0208-4752-9a97-3e900c1c8cfd,false,
S2,d36069b2-4137-425d-a2d8-3aea87b865c3,Boys of Tommen,,,6,Releasing 10,7db4b658-6774-46fb-b447-d571b70dc777,false,
S1,db5bc241-7717-4f2e-af08-56cbc3a1b09c,Bride,,2,,,,,
S2,db5bc241-7717-4f2e-af08-56cbc3a1b09c,Bride,,,1,Bride,dfdf7d35-23cf-4704-a34c-5974161fbb2e,false,
S2,db5bc241-7717-4f2e-af08-56cbc3a1b09c,Bride,,,2,Mate,d1cd81fa-503c-434a-a9b3-228bf6772dcc,false,
S1,5bc5c915-d330-4122-b4b9-6a466adb1039,Crave,,3,,,,,
S2,5bc5c915-d330-4122-b4b9-6a466adb1039,Crave,,,1,Crave,23a6f178-c508-4dde-a8c1-2443186fdec8,false,
S2,5bc5c915-d330-4122-b4b9-6a466adb1039,Crave,,,2,Crush,f89a50e6-a9fc-4d94-9c86-90c49c304440,false,
S2,5bc5c915-d330-4122-b4b9-6a466adb1039,Crave,,,4,Court,4f892d37-bc19-44a6-97be-f381b4f1870a,false,
S1,289fbcbf-4a30-402e-8c7a-5dd90de6e70e,Gods of the Game,,3,,,,,
S2,289fbcbf-4a30-402e-8c7a-5dd90de6e70e,Gods of the Game,,,1,The Striker,128cb6c9-b1f5-4658-98b4-522b1033c3f8,false,
S2,289fbcbf-4a30-402e-8c7a-5dd90de6e70e,Gods of the Game,,,2,The Defender,d3eabd2a-8270-49e2-9342-9353fce71141,false,
S2,289fbcbf-4a30-402e-8c7a-5dd90de6e70e,Gods of the Game,,,3,The Keeper,0a22484d-47c4-4a10-ad39-0ae1a4bfbfc1,false,
S1,16e42016-dacc-44f6-99fd-d41579109ec9,Heartstrings,,2,,,,,
S2,16e42016-dacc-44f6-99fd-d41579109ec9,Heartstrings,,,1,First-Time Caller,25782687-d926-4ce7-8db4-de37bb29331d,false,
S2,16e42016-dacc-44f6-99fd-d41579109ec9,Heartstrings,,,2,"And Now, Back to You",258ebb31-a22b-4a7d-b53a-657c63327ef5,false,
S1,ac3834c7-4916-428b-a0f5-c68edaf6daaa,Hell Bent,,4,,,,,
S2,ac3834c7-4916-428b-a0f5-c68edaf6daaa,Hell Bent,,,2,My Demon Hunter,da118fce-158e-43de-9230-76a8c3fff833,false,
S2,ac3834c7-4916-428b-a0f5-c68edaf6daaa,Hell Bent,,,3,Demon With Benefits,5f35e0be-2ad8-4308-a0f2-11cc121779ec,false,
S2,ac3834c7-4916-428b-a0f5-c68edaf6daaa,Hell Bent,,,4,Guardian Demon,88cbd267-8f8b-404e-9a86-595e691e0370,false,
S2,ac3834c7-4916-428b-a0f5-c68edaf6daaa,Hell Bent,,,5,Beauty and the Demon,a36b6915-8571-429a-a981-b5ac6d0ff4bd,false,
S1,b4e8431f-e171-4594-a0e3-aa80447090bd,Kings of Sin,,7,,,,,
S2,b4e8431f-e171-4594-a0e3-aa80447090bd,Kings of Sin,,,1,King of Wrath,2f82df60-c2ba-40d8-b18c-3c08414fd532,false,
S2,b4e8431f-e171-4594-a0e3-aa80447090bd,Kings of Sin,,,2,King of Pride,ddc28887-c32b-4d93-b69d-b5e5e9257428,false,
S2,b4e8431f-e171-4594-a0e3-aa80447090bd,Kings of Sin,,,3,King of Greed,bf19fdad-fcba-4e70-9fe5-6a2db20bec31,false,
S2,b4e8431f-e171-4594-a0e3-aa80447090bd,Kings of Sin,,,4,King of Sloth,21172a97-c38b-430e-8070-897f3567caea,false,
S2,b4e8431f-e171-4594-a0e3-aa80447090bd,Kings of Sin,,,5,King of Envy,8c38234a-68ee-4c97-9bc2-02ef22bd9c6f,false,
S2,b4e8431f-e171-4594-a0e3-aa80447090bd,Kings of Sin,,,6,King of Gluttony,f3b956a3-a28d-450e-ba75-6c9041a31dd8,false,
S2,b4e8431f-e171-4594-a0e3-aa80447090bd,Kings of Sin,,,7,King of Lust,da2973a0-0913-4bd3-a78a-9c5cd5217eed,false,
S1,9446f9b9-6e5c-4027-ab31-d444759d0c87,Mountain Men Matchmaker,,1,,,,,
S2,9446f9b9-6e5c-4027-ab31-d444759d0c87,Mountain Men Matchmaker,,,4,Bad Boy Era,55e939da-a7c4-4f7e-b533-7356841e15d2,false,
S1,61f5b309-e8d9-430c-90ca-d86bdb642d39,Not in Love,,1,,,,,
S2,61f5b309-e8d9-430c-90ca-d86bdb642d39,Not in Love,,,1,Not in Love,102dac59-78c6-4ec2-99f6-5e54fab00fd0,false,
S1,18f6d761-dde0-4d95-b5e5-2908fae4e64a,Playing for Keeps,,5,,,,,
S2,18f6d761-dde0-4d95-b5e5-2908fae4e64a,Playing for Keeps,,,1,Consider Me,c435c4f4-d784-4fb7-ba68-628d52c19156,false,
S2,18f6d761-dde0-4d95-b5e5-2908fae4e64a,Playing for Keeps,,,2,Play with Me,6a5d45b6-558b-40d5-9387-05d688577e28,false,
S2,18f6d761-dde0-4d95-b5e5-2908fae4e64a,Playing for Keeps,,,3,Unravel Me,654be03d-b163-42a4-91fc-f1795191f853,false,
S2,18f6d761-dde0-4d95-b5e5-2908fae4e64a,Playing for Keeps,,,4,Fall with Me,3c41408f-a5c5-4b0f-b3ef-d915227e245b,false,
S2,18f6d761-dde0-4d95-b5e5-2908fae4e64a,Playing for Keeps,,,5,Breathe With Me,4ebf08a2-9b5b-4043-b204-f0cfc1504a94,false,
S1,8c4b7746-0ca0-47f9-aaeb-19121a7548eb,Rules of the Game,,2,,,,,
S2,8c4b7746-0ca0-47f9-aaeb-19121a7548eb,Rules of the Game,,,1,Offside,ad2b8851-14a6-4d67-a7b0-fb1286913ea9,false,
S2,8c4b7746-0ca0-47f9-aaeb-19121a7548eb,Rules of the Game,,,2,Shutout,fc1334f1-0dc1-4fd4-b291-97aece3095b1,false,
S1,457597b0-8f6f-48d8-9467-e5a995b2b79c,Say You'll Remember Me,,1,,,,,
S2,457597b0-8f6f-48d8-9467-e5a995b2b79c,Say You'll Remember Me,,,1,Say You'll Remember Me,774173ea-cc80-4b57-bd57-d6fde0459ce6,false,
S1,b67425e8-12c5-4663-8d8f-db612fb1d05c,The Eating Woods,,3,,,,,
S2,b67425e8-12c5-4663-8d8f-db612fb1d05c,The Eating Woods,,,1,Anathema,88b316c8-6f8d-47af-bda1-313e37742a8e,false,
S2,b67425e8-12c5-4663-8d8f-db612fb1d05c,The Eating Woods,,,2,Eldritch,1a03fc76-1183-40d7-803f-cdb2f525970e,false,
S2,b67425e8-12c5-4663-8d8f-db612fb1d05c,The Eating Woods,,,3,Vasmora,169fd1d7-340c-486d-9cc4-7b3387f1ce68,false,
S1,56c019a4-7ece-4925-a607-a8d2b641ef32,The Empyrean,,5,,,,,
S2,56c019a4-7ece-4925-a607-a8d2b641ef32,The Empyrean,,,1,Fourth Wing,0a4931bd-1a93-49ac-8303-6640f51d8fe6,false,
S2,56c019a4-7ece-4925-a607-a8d2b641ef32,The Empyrean,,,2,Iron Flame,1555cc10-3496-435b-a8ea-9b1f36ab62f9,false,
S2,56c019a4-7ece-4925-a607-a8d2b641ef32,The Empyrean,,,3,Onyx Storm,6b9122a4-3257-42ca-9a55-49d7200af57b,false,
S2,56c019a4-7ece-4925-a607-a8d2b641ef32,The Empyrean,,,4,Untitled,554a0b32-9b85-4131-abb7-929b0847ce95,false,
S2,56c019a4-7ece-4925-a607-a8d2b641ef32,The Empyrean,,,5,Untitled,771c4566-f089-42e5-bd19-be9500e7d1cc,false,
S1,d47ba9e0-4488-4e82-8e6a-97df1059c39f,The Female,,4,,,,,
S2,d47ba9e0-4488-4e82-8e6a-97df1059c39f,The Female,,,1,The Female,ca709d70-5e75-442e-88e6-f706d23376c1,false,
S2,d47ba9e0-4488-4e82-8e6a-97df1059c39f,The Female,,,2,Her Males,45a3f77f-0a2d-405d-b406-f74f8032da4e,false,
S2,d47ba9e0-4488-4e82-8e6a-97df1059c39f,The Female,,,3,Their War,01d8df46-d89c-451a-b025-67db6eb2651b,false,
S2,d47ba9e0-4488-4e82-8e6a-97df1059c39f,The Female,,,4,Chev's Mate,10f9580b-8a9a-4f9d-acf8-18422f50ab25,false,
S1,99dd7191-e3ab-493b-99d7-f8fbf639d937,The Freckled Fate Series,,1,,,,,
S2,99dd7191-e3ab-493b-99d7-f8fbf639d937,The Freckled Fate Series,,,1,A Broken Promise,(ghost),false,
S1,45c6f642-9c54-4a41-bce1-ecbcaebea54a,The House of Teeth,,1,,,,,
S2,45c6f642-9c54-4a41-bce1-ecbcaebea54a,The House of Teeth,,,1,Innamorata,4c04135d-9f47-4d4a-afc8-fe911060bac6,false,
S1,558a3628-e675-4d5c-bcfe-247bd7b820ca,The Plated Prisoner,,6,,,,,
S2,558a3628-e675-4d5c-bcfe-247bd7b820ca,The Plated Prisoner,,,1,Gild,74c82a57-5214-4ca3-880f-9e336bb6b8f5,false,
S2,558a3628-e675-4d5c-bcfe-247bd7b820ca,The Plated Prisoner,,,2,Glint,ef9ae51f-4a97-4f99-a236-acb10f8b100c,false,
S2,558a3628-e675-4d5c-bcfe-247bd7b820ca,The Plated Prisoner,,,3,Gleam,9387868e-b556-4702-b260-b4a0d87a9347,false,
S2,558a3628-e675-4d5c-bcfe-247bd7b820ca,The Plated Prisoner,,,4,Glow,bd547e0e-4010-444f-8f94-74e7fd68351b,false,
S2,558a3628-e675-4d5c-bcfe-247bd7b820ca,The Plated Prisoner,,,5,Gold,d5e06252-e69d-437e-95aa-0aa4cd0f6e08,false,
S2,558a3628-e675-4d5c-bcfe-247bd7b820ca,The Plated Prisoner,,,6,Goldfinch,c26a3931-bcfa-4a3c-a4b0-dbd028062afc,false,
S1,4ca3a712-a04b-4096-9056-e047afc26a86,Twisted,,4,,,,,
S2,4ca3a712-a04b-4096-9056-e047afc26a86,Twisted,,,1,Twisted Love,7bf67b78-0744-4bf8-9e12-298e3434fc46,false,
S2,4ca3a712-a04b-4096-9056-e047afc26a86,Twisted,,,2,Twisted Games,bfb1ccc2-083d-40e1-b524-1d879c5c8724,false,
S2,4ca3a712-a04b-4096-9056-e047afc26a86,Twisted,,,3,Twisted Hate,e4e64fa1-e657-4c1e-bd88-32357f8c3c87,false,
S2,4ca3a712-a04b-4096-9056-e047afc26a86,Twisted,,,4,Twisted Lies,c404a5e6-fe28-4124-abdf-5e1a6ed1837f,false,
